case,fault,root_cause_service,seed,mask_id,mask_ratio,target_count,redacted_boundary_spans,typed_universe_count,a2_proposal_count,candidate_recall,masked_recall,mrr_within_a2,silver_precision_lower_bound,compression_ratio,budget_saturated,dropped_by_budget,leakage_checks_all_pass,cell_gate_status,cell_gate_passed,run_summary
re2tt_ts-auth-service_cpu_2,cpu,ts-auth-service,11,iid20_l2_s11,0.2,11,13694,658,15,1.0,1.0,1.0,0.7333333333333333,0.9772036474164134,False,0,True,PASS,True,runs/re2tt_ts-auth-service_cpu_2/seed-11/summary.json
re2tt_ts-auth-service_cpu_2,cpu,ts-auth-service,11,iid40_l2_s11,0.4,22,46591,669,32,1.0,1.0,1.0,0.6875,0.9521674140508222,True,1,True,PASS,True,runs/re2tt_ts-auth-service_cpu_2/seed-11/summary.json
re2tt_ts-auth-service_cpu_2,cpu,ts-auth-service,17,iid20_l2_s17,0.2,11,11489,658,14,1.0,1.0,1.0,0.7857142857142857,0.9787234042553191,False,0,True,PASS,True,runs/re2tt_ts-auth-service_cpu_2/seed-17/summary.json
re2tt_ts-auth-service_cpu_2,cpu,ts-auth-service,17,iid40_l2_s17,0.4,22,23843,669,28,1.0,1.0,1.0,0.7857142857142857,0.9581464872944694,False,0,True,PASS,True,runs/re2tt_ts-auth-service_cpu_2/seed-17/summary.json
re2tt_ts-auth-service_cpu_2,cpu,ts-auth-service,23,iid20_l2_s23,0.2,11,9148,658,15,1.0,1.0,1.0,0.7333333333333333,0.9772036474164134,False,0,True,PASS,True,runs/re2tt_ts-auth-service_cpu_2/seed-23/summary.json
re2tt_ts-auth-service_cpu_2,cpu,ts-auth-service,23,iid40_l2_s23,0.4,22,40657,669,32,1.0,1.0,1.0,0.6875,0.9521674140508222,False,0,True,PASS,True,runs/re2tt_ts-auth-service_cpu_2/seed-23/summary.json
re2tt_ts-auth-service_cpu_2,cpu,ts-auth-service,31,iid20_l2_s31,0.2,11,9883,658,13,1.0,1.0,1.0,0.8461538461538461,0.9802431610942249,False,0,True,PASS,True,runs/re2tt_ts-auth-service_cpu_2/seed-31/summary.json
re2tt_ts-auth-service_cpu_2,cpu,ts-auth-service,31,iid40_l2_s31,0.4,22,41795,669,31,1.0,1.0,0.9545454545454546,0.7096774193548387,0.953662182361734,False,0,True,PASS,True,runs/re2tt_ts-auth-service_cpu_2/seed-31/summary.json
re2tt_ts-auth-service_cpu_2,cpu,ts-auth-service,47,iid20_l2_s47,0.2,11,2475,658,12,1.0,1.0,1.0,0.9166666666666666,0.9817629179331308,False,0,True,PASS,True,runs/re2tt_ts-auth-service_cpu_2/seed-47/summary.json
re2tt_ts-auth-service_cpu_2,cpu,ts-auth-service,47,iid40_l2_s47,0.4,22,28616,669,27,1.0,1.0,1.0,0.8148148148148148,0.9596412556053812,False,0,True,PASS,True,runs/re2tt_ts-auth-service_cpu_2/seed-47/summary.json
re2tt_ts-auth-service_delay_3,delay,ts-auth-service,11,iid20_l2_s11,0.2,11,22379,658,25,1.0,1.0,0.9090909090909091,0.44,0.9620060790273556,False,0,True,PASS,True,runs/re2tt_ts-auth-service_delay_3/seed-11/summary.json
re2tt_ts-auth-service_delay_3,delay,ts-auth-service,11,iid40_l2_s11,0.4,21,55848,668,32,1.0,1.0,0.9285714285714286,0.65625,0.9520958083832335,True,19,True,PASS,True,runs/re2tt_ts-auth-service_delay_3/seed-11/summary.json
re2tt_ts-auth-service_delay_3,delay,ts-auth-service,17,iid20_l2_s17,0.2,11,21131,658,24,1.0,1.0,1.0,0.4583333333333333,0.9635258358662614,False,0,True,PASS,True,runs/re2tt_ts-auth-service_delay_3/seed-17/summary.json
re2tt_ts-auth-service_delay_3,delay,ts-auth-service,17,iid40_l2_s17,0.4,21,33218,668,32,1.0,1.0,0.9761904761904762,0.65625,0.9520958083832335,True,11,True,PASS,True,runs/re2tt_ts-auth-service_delay_3/seed-17/summary.json
re2tt_ts-auth-service_delay_3,delay,ts-auth-service,23,iid20_l2_s23,0.2,11,12826,658,17,1.0,1.0,1.0,0.6470588235294118,0.9741641337386018,False,0,True,PASS,True,runs/re2tt_ts-auth-service_delay_3/seed-23/summary.json
re2tt_ts-auth-service_delay_3,delay,ts-auth-service,23,iid40_l2_s23,0.4,21,40138,668,32,1.0,1.0,1.0,0.65625,0.9520958083832335,True,7,True,PASS,True,runs/re2tt_ts-auth-service_delay_3/seed-23/summary.json
re2tt_ts-auth-service_delay_3,delay,ts-auth-service,31,iid20_l2_s31,0.2,11,7334,658,26,1.0,1.0,1.0,0.4230769230769231,0.9604863221884499,False,0,True,PASS,True,runs/re2tt_ts-auth-service_delay_3/seed-31/summary.json
re2tt_ts-auth-service_delay_3,delay,ts-auth-service,31,iid40_l2_s31,0.4,21,31759,668,32,1.0,1.0,0.9523809523809523,0.65625,0.9520958083832335,True,20,True,PASS,True,runs/re2tt_ts-auth-service_delay_3/seed-31/summary.json
re2tt_ts-auth-service_delay_3,delay,ts-auth-service,47,iid20_l2_s47,0.2,11,8516,658,25,1.0,1.0,1.0,0.44,0.9620060790273556,False,0,True,PASS,True,runs/re2tt_ts-auth-service_delay_3/seed-47/summary.json
re2tt_ts-auth-service_delay_3,delay,ts-auth-service,47,iid40_l2_s47,0.4,21,38969,668,32,1.0,1.0,1.0,0.65625,0.9520958083832335,True,15,True,PASS,True,runs/re2tt_ts-auth-service_delay_3/seed-47/summary.json
re2tt_ts-order-service_disk_3,disk,ts-order-service,11,iid20_l2_s11,0.2,4,7981,364,5,1.0,1.0,1.0,0.8,0.9862637362637363,False,0,True,PASS,True,runs/re2tt_ts-order-service_disk_3/seed-11/summary.json
