case,fault,role,seed,mask_id,mask_ratio,selected_count,target_count,recovered_target_count,recall,silver_matched_count,silver_precision_lower_bound,mrr,ranks,state_counts
re2tt_ts-auth-service_delay_3,delay,heldout,11,iid20_l2_s11,0.2,22,11,11,1.0,11,0.5,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","{'corroborates': 0, 'ambiguous': 0, 'contradicts': 22}"
re2tt_ts-auth-service_delay_3,delay,heldout,11,iid40_l2_s11,0.4,28,21,21,1.0,21,0.75,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","{'corroborates': 0, 'ambiguous': 0, 'contradicts': 28}"
re2tt_ts-auth-service_delay_3,delay,heldout,17,iid20_l2_s17,0.2,21,11,11,1.0,11,0.5238095238095238,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","{'corroborates': 0, 'ambiguous': 0, 'contradicts': 21}"
re2tt_ts-auth-service_delay_3,delay,heldout,17,iid40_l2_s17,0.4,28,21,21,1.0,21,0.75,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","{'corroborates': 0, 'ambiguous': 0, 'contradicts': 28}"
re2tt_ts-auth-service_delay_3,delay,heldout,23,iid20_l2_s23,0.2,15,11,11,1.0,11,0.7333333333333333,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","{'corroborates': 0, 'ambiguous': 0, 'contradicts': 15}"
re2tt_ts-auth-service_delay_3,delay,heldout,23,iid40_l2_s23,0.4,28,21,21,1.0,21,0.75,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","{'corroborates': 0, 'ambiguous': 0, 'contradicts': 28}"
re2tt_ts-auth-service_delay_3,delay,heldout,31,iid20_l2_s31,0.2,23,11,11,1.0,11,0.4782608695652174,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","{'corroborates': 0, 'ambiguous': 0, 'contradicts': 23}"
re2tt_ts-auth-service_delay_3,delay,heldout,31,iid40_l2_s31,0.4,28,21,21,1.0,21,0.75,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","{'corroborates': 0, 'ambiguous': 0, 'contradicts': 28}"
re2tt_ts-auth-service_delay_3,delay,heldout,47,iid20_l2_s47,0.2,22,11,11,1.0,11,0.5,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","{'corroborates': 0, 'ambiguous': 0, 'contradicts': 22}"
re2tt_ts-auth-service_delay_3,delay,heldout,47,iid40_l2_s47,0.4,28,21,21,1.0,21,0.75,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","{'corroborates': 0, 'ambiguous': 0, 'contradicts': 28}"
re2tt_ts-order-service_disk_3,disk,heldout,11,iid20_l2_s11,0.2,5,4,4,1.0,4,0.8,1.0,"[1, 1, 1, 1]","{'corroborates': 0, 'ambiguous': 0, 'contradicts': 5}"
re2tt_ts-order-service_disk_3,disk,heldout,11,iid40_l2_s11,0.4,8,8,8,1.0,8,1.0,1.0,"[1, 1, 1, 1, 1, 1, 1, 1]","{'corroborates': 0, 'ambiguous': 0, 'contradicts': 8}"
re2tt_ts-order-service_disk_3,disk,heldout,17,iid20_l2_s17,0.2,7,4,4,1.0,4,0.5714285714285714,1.0,"[1, 1, 1, 1]","{'corroborates': 0, 'ambiguous': 0, 'contradicts': 7}"
re2tt_ts-order-service_disk_3,disk,heldout,17,iid40_l2_s17,0.4,10,8,8,1.0,8,0.8,1.0,"[1, 1, 1, 1, 1, 1, 1, 1]","{'corroborates': 0, 'ambiguous': 0, 'contradicts': 10}"
re2tt_ts-order-service_disk_3,disk,heldout,23,iid20_l2_s23,0.2,4,4,4,1.0,4,1.0,1.0,"[1, 1, 1, 1]","{'corroborates': 0, 'ambiguous': 0, 'contradicts': 4}"
