incident_token,case,fault,role,seed,mask_id,mask_ratio,selected_count,target_count,recovered_target_count,recall,silver_matched_count,silver_precision_lower_bound,mrr,ranks
15a76abab5584d14952d,re2tt_ts-travel-service_mem_3,mem,calibration,11,iid20_l2_s11,0.2,16,10,10,1.0,10,0.625,1.0,"[1,1,1,1,1,1,1,1,1,1]"
15a76abab5584d14952d,re2tt_ts-travel-service_mem_3,mem,calibration,11,iid40_l2_s11,0.4,28,20,20,1.0,20,0.7142857142857143,1.0,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]"
15a76abab5584d14952d,re2tt_ts-travel-service_mem_3,mem,calibration,17,iid20_l2_s17,0.2,18,10,10,1.0,10,0.5555555555555556,1.0,"[1,1,1,1,1,1,1,1,1,1]"
15a76abab5584d14952d,re2tt_ts-travel-service_mem_3,mem,calibration,17,iid40_l2_s17,0.4,28,20,20,1.0,20,0.7142857142857143,1.0,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]"
15a76abab5584d14952d,re2tt_ts-travel-service_mem_3,mem,calibration,23,iid20_l2_s23,0.2,18,10,10,1.0,10,0.5555555555555556,1.0,"[1,1,1,1,1,1,1,1,1,1]"
15a76abab5584d14952d,re2tt_ts-travel-service_mem_3,mem,calibration,23,iid40_l2_s23,0.4,28,20,20,1.0,20,0.7142857142857143,1.0,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]"
15a76abab5584d14952d,re2tt_ts-travel-service_mem_3,mem,calibration,31,iid20_l2_s31,0.2,17,10,10,1.0,10,0.5882352941176471,1.0,"[1,1,1,1,1,1,1,1,1,1]"
15a76abab5584d14952d,re2tt_ts-travel-service_mem_3,mem,calibration,31,iid40_l2_s31,0.4,28,20,20,1.0,20,0.7142857142857143,1.0,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]"
15a76abab5584d14952d,re2tt_ts-travel-service_mem_3,mem,calibration,47,iid20_l2_s47,0.2,14,10,10,1.0,10,0.7142857142857143,1.0,"[1,1,1,1,1,1,1,1,1,1]"
15a76abab5584d14952d,re2tt_ts-travel-service_mem_3,mem,calibration,47,iid40_l2_s47,0.4,28,20,20,1.0,20,0.7142857142857143,1.0,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]"
b1babbed11b8e178626b,re2tt_ts-auth-service_cpu_2,cpu,calibration,11,iid20_l2_s11,0.2,13,11,11,1.0,11,0.8461538461538461,1.0,"[1,1,1,1,1,1,1,1,1,1,1]"
b1babbed11b8e178626b,re2tt_ts-auth-service_cpu_2,cpu,calibration,11,iid40_l2_s11,0.4,28,22,22,1.0,22,0.7857142857142857,1.0,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]"
b1babbed11b8e178626b,re2tt_ts-auth-service_cpu_2,cpu,calibration,17,iid20_l2_s17,0.2,12,11,11,1.0,11,0.9166666666666666,1.0,"[1,1,1,1,1,1,1,1,1,1,1]"
b1babbed11b8e178626b,re2tt_ts-auth-service_cpu_2,cpu,calibration,17,iid40_l2_s17,0.4,24,22,22,1.0,22,0.9166666666666666,1.0,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]"
b1babbed11b8e178626b,re2tt_ts-auth-service_cpu_2,cpu,calibration,23,iid20_l2_s23,0.2,13,11,11,1.0,11,0.8461538461538461,1.0,"[1,1,1,1,1,1,1,1,1,1,1]"
b1babbed11b8e178626b,re2tt_ts-auth-service_cpu_2,cpu,calibration,23,iid40_l2_s23,0.4,28,22,22,1.0,22,0.7857142857142857,1.0,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]"
b1babbed11b8e178626b,re2tt_ts-auth-service_cpu_2,cpu,calibration,31,iid20_l2_s31,0.2,12,11,11,1.0,11,0.9166666666666666,1.0,"[1,1,1,1,1,1,1,1,1,1,1]"
b1babbed11b8e178626b,re2tt_ts-auth-service_cpu_2,cpu,calibration,31,iid40_l2_s31,0.4,27,22,22,1.0,22,0.8148148148148148,1.0,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]"
b1babbed11b8e178626b,re2tt_ts-auth-service_cpu_2,cpu,calibration,47,iid20_l2_s47,0.2,11,11,11,1.0,11,1.0,1.0,"[1,1,1,1,1,1,1,1,1,1,1]"
b1babbed11b8e178626b,re2tt_ts-auth-service_cpu_2,cpu,calibration,47,iid40_l2_s47,0.4,23,22,22,1.0,22,0.9565217391304348,1.0,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]"
