retention_fraction,minimum_keep,operational_weight,nli_weight,cell_count,recall_macro,recall_min,recall_pooled,selected_count_mean,selected_count_median,selected_count_max,silver_precision_lower_bound_macro,silver_precision_lower_bound_min,mrr_macro,mrr_min,selected_count_ratio,delta_vs_full_p_lb,delta_vs_full_mrr,matched_a2_recall_delta,matched_a2_p_lb_delta,matched_a2_mrr_delta,matched_r2_recall_delta,matched_r2_p_lb_delta,matched_r2_mrr_delta,nli_additive_gain,feasible,violation_count,selected
0.8,8,0.0,0.1,20,0.9931818181818182,0.9090909090909091,0.9936507936507937,19.35,19.5,26,0.8158448378135079,0.5882352941176471,0.9931818181818182,0.9090909090909091,0.8147368421052632,0.14292761316241231,-0.006818181818181834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1,False
0.8,8,0.0,0.2,20,0.9840909090909091,0.9090909090909091,0.9841269841269841,19.35,19.5,26,0.806852742951848,0.5882352941176471,0.9840909090909091,0.9090909090909091,0.8147368421052632,0.13393551830075234,-0.015909090909090873,-0.009090909090909038,-0.008992094861659972,-0.009090909090909038,-0.009090909090909038,-0.008992094861659972,-0.009090909090909038,-0.008992094861659972,False,8,False
0.8,8,0.0,0.3,20,0.9795454545454545,0.9090909090909091,0.9777777777777777,19.35,19.5,26,0.8027557529852926,0.5882352941176471,0.9795454545454545,0.9090909090909091,0.8147368421052632,0.12983852833419696,-0.020454545454545503,-0.013636363636363669,-0.013089084828215358,-0.013636363636363669,-0.013636363636363669,-0.013089084828215358,-0.013636363636363669,-0.013089084828215358,False,8,False
0.8,8,0.0,0.4,20,0.9588636363636363,0.8181818181818182,0.9619047619047619,19.35,19.5,26,0.7840599487894885,0.5882352941176471,0.9552272727272728,0.8181818181818182,0.8147368421052632,0.11114272413839288,-0.044772727272727186,-0.034318181818181914,-0.031784889024019436,-0.03795454545454535,-0.034318181818181914,-0.031784889024019436,-0.03795454545454535,-0.031784889024019436,False,9,False
0.8,8,0.1,0.1,20,0.9931818181818182,0.9090909090909091,0.9936507936507937,19.35,19.5,26,0.8158448378135079,0.5882352941176471,0.9931818181818182,0.9090909090909091,0.8147368421052632,0.14292761316241231,-0.006818181818181834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1,False
0.8,8,0.1,0.2,20,0.9886363636363636,0.9090909090909091,0.9873015873015873,19.35,19.5,26,0.8113981974973024,0.5882352941176471,0.9886363636363636,0.9090909090909091,0.8147368421052632,0.13848097284620675,-0.011363636363636354,-0.004545454545454519,-0.0044466403162055634,-0.004545454545454519,-0.004545454545454519,-0.0044466403162055634,-0.004545454545454519,-0.0044466403162055634,False,8,False
0.8,8,0.1,0.3,20,0.9863636363636363,0.9090909090909091,0.9873015873015873,19.35,19.5,26,0.809125470224575,0.5882352941176471,0.9851136363636364,0.9090909090909091,0.8147368421052632,0.13620824557347944,-0.014886363636363642,-0.006818181818181834,-0.0067193675889328786,-0.008068181818181808,-0.006818181818181834,-0.0067193675889328786,-0.008068181818181808,-0.0067193675889328786,False,8,False
0.8,8,0.1,0.4,20,0.9679545454545455,0.8181818181818182,0.9682539682539683,19.35,19.5,26,0.7923932821228218,0.5882352941176471,0.9607954545454545,0.8181818181818182,0.8147368421052632,0.11947605747172618,-0.03920454545454555,-0.025227272727272654,-0.023451555690686132,-0.03238636363636371,-0.025227272727272654,-0.023451555690686132,-0.03238636363636371,-0.023451555690686132,False,9,False
0.8,8,0.2,0.1,20,0.9931818181818182,0.9090909090909091,0.9936507936507937,19.35,19.5,26,0.8158448378135079,0.5882352941176471,0.9931818181818182,0.9090909090909091,0.8147368421052632,0.14292761316241231,-0.006818181818181834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1,False
0.8,8,0.2,0.2,20,0.9909090909090909,0.9090909090909091,0.9904761904761905,19.35,19.5,26,0.8135721105407807,0.5882352941176471,0.9896590909090909,0.9090909090909091,0.8147368421052632,0.1406548858896851,-0.010340909090909123,-0.002272727272727315,-0.002272727272727204,-0.0035227272727272885,-0.002272727272727315,-0.002272727272727204,-0.0035227272727272885,-0.002272727272727204,False,8,False
0.8,8,0.2,0.3,20,0.9863636363636363,0.9090909090909091,0.9873015873015873,19.35,19.5,26,0.809125470224575,0.5882352941176471,0.982840909090909,0.9090909090909091,0.8147368421052632,0.13620824557347944,-0.017159090909090957,-0.006818181818181834,-0.0067193675889328786,-0.010340909090909123,-0.006818181818181834,-0.0067193675889328786,-0.010340909090909123,-0.0067193675889328786,False,8,False
0.8,8,0.2,0.4,20,0.9654545454545455,0.8181818181818182,0.9650793650793651,19.35,19.5,26,0.7906441182432231,0.5882352941176471,0.9498863636363636,0.8181818181818182,0.8147368421052632,0.11772689359212751,-0.050113636363636416,-0.02772727272727271,-0.025200719570284802,-0.04329545454545458,-0.025454545454545396,-0.022927992297557598,-0.041022727272727266,-0.022927992297557598,False,9,False
0.8,8,0.3,0.1,20,0.9909090909090909,0.9090909090909091,0.9904761904761905,19.35,19.5,26,0.8135721105407807,0.5882352941176471,0.9909090909090909,0.9090909090909091,0.8147368421052632,0.1406548858896851,-0.00909090909090915,-0.002272727272727315,-0.002272727272727204,-0.002272727272727315,0.0,0.0,0.0,0.0,False,4,False
0.8,8,0.3,0.2,20,0.9931818181818182,0.9090909090909091,0.9936507936507937,19.35,19.5,26,0.8158448378135079,0.5882352941176471,0.9907954545454546,0.9090909090909091,0.8147368421052632,0.14292761316241231,-0.00920454545454541,0.0,0.0,-0.0023863636363635754,0.002272727272727315,0.002272727272727204,-0.00011363636363626028,0.002272727272727204,False,2,False
0.8,8,0.3,0.3,20,0.9838636363636363,0.9090909090909091,0.9841269841269841,19.35,19.5,26,0.8073763063449764,0.5882352941176471,0.9778409090909091,0.9090909090909091,0.8147368421052632,0.13445908169388077,-0.02215909090909085,-0.009318181818181892,-0.008468531468531548,-0.015340909090909016,-0.007045454545454577,-0.006195804195804344,-0.013068181818181701,-0.006195804195804344,False,8,False
