cell_id,case,fault,role,seed,mask_id,mask_ratio,selected_count,target_count,recovered_target_count,recall,silver_matched_count,silver_precision_lower_bound,false_edge_rate_upper_bound,mrr,ranks
0a103de92e72c265783bdd53,re2tt_ts-travel-service_mem_3,mem,calibration,23,iid20_l2_s23,0.2,18,10,10,1.0,10,0.5555555555555556,0.4444444444444444,1.0,"[1,1,1,1,1,1,1,1,1,1]"
0bda22775f2a554bacd83ab2,re2tt_ts-travel-service_mem_3,mem,calibration,47,iid20_l2_s47,0.2,14,10,10,1.0,10,0.7142857142857143,0.2857142857142857,1.0,"[1,1,1,1,1,1,1,1,1,1]"
1687bf08ebcfcf10e86bb506,re2tt_ts-travel-service_mem_3,mem,calibration,31,iid40_l2_s31,0.4,28,20,20,1.0,20,0.7142857142857143,0.2857142857142857,1.0,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]"
1bac74573bba20def8d74bb4,re2tt_ts-auth-service_cpu_2,cpu,calibration,31,iid40_l2_s31,0.4,27,22,22,1.0,22,0.8148148148148148,0.18518518518518523,1.0,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]"
29d6632b31b02e9bf79bdd5d,re2tt_ts-auth-service_cpu_2,cpu,calibration,47,iid40_l2_s47,0.4,23,22,22,1.0,22,0.9565217391304348,0.04347826086956519,1.0,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]"
31f4a217e7f97bc23026ed7d,re2tt_ts-travel-service_mem_3,mem,calibration,11,iid20_l2_s11,0.2,16,10,10,1.0,10,0.625,0.375,1.0,"[1,1,1,1,1,1,1,1,1,1]"
3ba1c218a692619cbbbf6ad8,re2tt_ts-travel-service_mem_3,mem,calibration,17,iid20_l2_s17,0.2,18,10,10,1.0,10,0.5555555555555556,0.4444444444444444,1.0,"[1,1,1,1,1,1,1,1,1,1]"
458c809a61ebd801a46f3dd4,re2tt_ts-auth-service_cpu_2,cpu,calibration,17,iid20_l2_s17,0.2,12,11,11,1.0,11,0.9166666666666666,0.08333333333333337,1.0,"[1,1,1,1,1,1,1,1,1,1,1]"
5b7e19b3ae0593bf2afabcfa,re2tt_ts-travel-service_mem_3,mem,calibration,23,iid40_l2_s23,0.4,28,20,20,1.0,20,0.7142857142857143,0.2857142857142857,0.975,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1]"
768ff65d5fd8a8b1147e6f97,re2tt_ts-travel-service_mem_3,mem,calibration,11,iid40_l2_s11,0.4,28,20,20,1.0,20,0.7142857142857143,0.2857142857142857,1.0,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]"
7bf69fdd297e9dc3109e4155,re2tt_ts-travel-service_mem_3,mem,calibration,47,iid40_l2_s47,0.4,28,20,20,1.0,20,0.7142857142857143,0.2857142857142857,1.0,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]"
8d3eafbeb8b79c4219f135ce,re2tt_ts-travel-service_mem_3,mem,calibration,31,iid20_l2_s31,0.2,17,10,10,1.0,10,0.5882352941176471,0.4117647058823529,1.0,"[1,1,1,1,1,1,1,1,1,1]"
b735f1b765b7a0800476f337,re2tt_ts-auth-service_cpu_2,cpu,calibration,17,iid40_l2_s17,0.4,24,22,22,1.0,22,0.9166666666666666,0.08333333333333337,1.0,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]"
c8dffd01704782b40bd1daaf,re2tt_ts-auth-service_cpu_2,cpu,calibration,47,iid20_l2_s47,0.2,11,11,11,1.0,11,1.0,0.0,1.0,"[1,1,1,1,1,1,1,1,1,1,1]"
cd19879e37f862c187b7a4bc,re2tt_ts-auth-service_cpu_2,cpu,calibration,11,iid20_l2_s11,0.2,13,11,11,1.0,11,0.8461538461538461,0.15384615384615385,1.0,"[1,1,1,1,1,1,1,1,1,1,1]"
dd8fbb2c40d67911997e85a9,re2tt_ts-auth-service_cpu_2,cpu,calibration,11,iid40_l2_s11,0.4,28,22,22,1.0,22,0.7857142857142857,0.2142857142857143,1.0,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]"
e8b250c71028b8abfb5818bc,re2tt_ts-travel-service_mem_3,mem,calibration,17,iid40_l2_s17,0.4,28,20,20,1.0,20,0.7142857142857143,0.2857142857142857,1.0,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]"
f4b55771059eece162605f9f,re2tt_ts-auth-service_cpu_2,cpu,calibration,31,iid20_l2_s31,0.2,12,11,11,1.0,11,0.9166666666666666,0.08333333333333337,1.0,"[1,1,1,1,1,1,1,1,1,1,1]"
f641d14268ef79d011d8596f,re2tt_ts-auth-service_cpu_2,cpu,calibration,23,iid40_l2_s23,0.4,28,22,22,1.0,22,0.7857142857142857,0.2142857142857143,1.0,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]"
f8fb4cc88bef9224897ef097,re2tt_ts-auth-service_cpu_2,cpu,calibration,23,iid20_l2_s23,0.2,13,11,11,1.0,11,0.8461538461538461,0.15384615384615385,1.0,"[1,1,1,1,1,1,1,1,1,1,1]"
