cell_id,case,fault,role,seed,mask_id,mask_ratio,selected_count,target_count,recovered_target_count,recall,silver_matched_count,silver_precision_lower_bound,false_edge_rate_upper_bound,mrr,ranks
02a56020b4d6e4d3a8e0cebe,re2tt_ts-travel-service_socket_3,socket,heldout,31,iid40_l2_s31,0.4,27,21,21,1.0,21,0.7777777777777778,0.2222222222222222,1.0,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]"
09ef53625146c301ebfdbbba,re2tt_ts-travel-service_socket_3,socket,heldout,11,iid20_l2_s11,0.2,12,10,10,1.0,10,0.8333333333333334,0.16666666666666663,1.0,"[1,1,1,1,1,1,1,1,1,1]"
0cf3e4a9462bcb8cb514d6a2,re2tt_ts-order-service_disk_3,disk,heldout,17,iid40_l2_s17,0.4,10,8,8,1.0,8,0.8,0.19999999999999996,1.0,"[1,1,1,1,1,1,1,1]"
0fdd2f1f2996013a152bc120,re2tt_ts-auth-service_delay_3,delay,heldout,47,iid40_l2_s47,0.4,28,21,21,1.0,21,0.75,0.25,1.0,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]"
1142d93726ede34b06d14d7a,re2tt_ts-travel-service_socket_3,socket,heldout,23,iid40_l2_s23,0.4,26,21,21,1.0,21,0.8076923076923077,0.1923076923076923,1.0,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]"
129b4fed7276648df814559c,re2tt_ts-auth-service_delay_3,delay,heldout,31,iid40_l2_s31,0.4,28,21,21,1.0,21,0.75,0.25,0.9761904761904762,"[1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]"
1434a4498c25d48ed6bb584a,re2tt_ts-order-service_disk_3,disk,heldout,23,iid20_l2_s23,0.2,4,4,4,1.0,4,1.0,0.0,1.0,"[1,1,1,1]"
1723fed5b06496612486df5b,re2tt_ts-auth-service_delay_3,delay,heldout,31,iid20_l2_s31,0.2,23,11,11,1.0,11,0.4782608695652174,0.5217391304347826,1.0,"[1,1,1,1,1,1,1,1,1,1,1]"
192427bf9ab0199bd48f3bc2,re2tt_ts-travel-service_socket_3,socket,heldout,31,iid20_l2_s31,0.2,13,10,10,1.0,10,0.7692307692307693,0.23076923076923073,1.0,"[1,1,1,1,1,1,1,1,1,1]"
26ce677f573d491efe878ebd,re2tt_ts-train-service_loss_3,loss,heldout,31,iid20_l2_s31,0.2,12,11,11,1.0,11,0.9166666666666666,0.08333333333333337,1.0,"[1,1,1,1,1,1,1,1,1,1,1]"
